Date,Widget_A,Widget_B,Widget_C
2025-09-12,127,125,124
2025-09-13,124,123,123
2025-09-14,120,118,118
2025-09-15,117,117,116
2025-09-16,111,112,112
2025-09-17,112,112,110
2025-09-18,107,109,105
2025-09-19,103,104,105
2025-09-20,99,103,100
2025-09-21,98,96,97
2025-09-22,93,93,94
2025-09-23,90,92,92
2025-09-24,88,91,87
2025-09-25,87,84,86
2025-09-26,84,84,82
2025-09-27,80,82,81
2025-09-28,79,78,78
2025-09-29,74,73,75
2025-09-30,69,69,71
2025-10-01,70,69,70
2025-10-02,67,66,64
2025-10-03,62,61,62
2025-10-04,60,59,58
2025-10-05,57,54,54
2025-10-06,51,52,51
2025-10-07,48,48,49
2025-10-08,46,49,48
2025-10-09,46,46,44
2025-10-10,43,39,40
2025-10-11,36,36,126
2025-10-12,33,37,124
2025-10-13,33,124,124
2025-10-14,124,124,123
2025-10-15,120,119,121
2025-10-16,119,114,114
2025-10-17,117,111,111
2025-10-18,111,111,109
2025-10-19,108,107,109
2025-10-20,106,102,106
2025-10-21,105,101,102
2025-10-22,99,98,100
2025-10-23,99,97,94
2025-10-24,95,93,94
2025-10-25,94,91,90
2025-10-26,88,87,87
2025-10-27,87,82,81
2025-10-28,84,78,82
2025-10-29,80,78,76
2025-10-30,77,74,73
2025-10-31,74,73,73
2025-11-01,71,69,68
2025-11-02,69,65,67
2025-11-03,65,64,60
2025-11-04,60,61,60
2025-11-05,61,125,125
2025-11-06,58,122,121
2025-11-07,51,121,121
2025-11-08,50,118,115
2025-11-09,48,125,114
2025-11-10,45,121,108
2025-11-11,127,117,109
2025-11-12,121,115,104
2025-11-13,124,112,103
2025-11-14,123,112,98
2025-11-15,123,105,97
2025-11-16,123,103,90
2025-11-17,121,102,91
2025-11-18,114,99,86
2025-11-19,112,94,84
2025-11-20,111,90,81
2025-11-21,105,91,78
2025-11-22,106,87,74
2025-11-23,102,82,71
2025-11-24,100,82,68
2025-11-25,95,79,63
2025-11-26,93,72,60
2025-11-27,91,71,59
2025-11-28,86,68,56
2025-11-29,83,64,53
2025-11-30,78,62,49
2025-12-01,77,57,48
2025-12-02,72,57,123
2025-12-03,73,55,121
2025-12-04,66,50,119
2025-12-05,65,46,117
2025-12-06,63,43,112
2025-12-07,59,39,110
2025-12-08,56,40,109
2025-12-09,52,33,103
2025-12-10,51,30,100
2025-12-11,49,27,98
2025-12-12,45,28,96
2025-12-13,40,23,94
2025-12-14,38,19,91
2025-12-15,35,19,87
2025-12-16,33,13,83
2025-12-17,27,12,80
2025-12-18,28,6,75
2025-12-19,24,4,74
2025-12-20,22,126,69
2025-12-21,17,121,66
2025-12-22,12,121,63
2025-12-23,9,114,63
2025-12-24,8,115,60
2025-12-25,7,112,58
2025-12-26,1,106,55
2025-12-27,0,106,49
2025-12-28,0,101,46
2025-12-29,0,100,43
2025-12-30,0,95,43
2025-12-31,0,92,38
2026-01-01,0,89,35
2026-01-02,2,85,33
2026-01-03,1,84,27
2026-01-04,1,82,27
2026-01-05,0,78,23
2026-01-06,0,74,18
2026-01-07,0,73,18
2026-01-08,0,68,16
2026-01-09,0,65,13
2026-01-10,0,61,9
2026-01-11,0,60,3
2026-01-12,1,56,3
2026-01-13,0,55,0
2026-01-14,2,50,124
2026-01-15,0,47,122
2026-01-16,0,44,121
2026-01-17,1,41,118
2026-01-18,0,37,114
2026-01-19,0,37,112
2026-01-20,123,33,106
2026-01-21,122,31,105
2026-01-22,119,24,100
2026-01-23,115,24,97
2026-01-24,115,19,95
2026-01-25,108,17,127
2026-01-26,105,15,124
2026-01-27,103,9,118
2026-01-28,103,10,118
2026-01-29,99,5,115
2026-01-30,124,4,124
2026-01-31,123,2,124
2026-02-01,119,1,118
2026-02-02,114,0,118
2026-02-03,114,0,115
2026-02-04,110,1,127
2026-02-05,106,0,122
2026-02-06,106,2,118
2026-02-07,103,0,116
2026-02-08,100,2,112
2026-02-09,97,124,108
2026-02-10,91,122,109
2026-02-11,87,121,104
2026-02-12,84,115,101
2026-02-13,84,115,99
2026-02-14,82,123,95
2026-02-15,77,126,94
2026-02-16,72,124,89
2026-02-17,72,118,86
2026-02-18,68,118,82
2026-02-19,66,123,124
2026-02-20,63,121,121
2026-02-21,61,119,125
2026-02-22,58,117,121
2026-02-23,55,113,120
2026-02-24,50,109,116
2026-02-25,47,107,111
2026-02-26,43,104,111
2026-02-27,43,100,123
2026-02-28,40,98,122
2026-03-01,33,93,120
2026-03-02,30,93,115
2026-03-03,29,90,115
2026-03-04,25,85,109
2026-03-05,22,125,105
2026-03-06,19,120,104
2026-03-07,19,120,102
2026-03-08,13,116,98
2026-03-09,13,113,97
2026-03-10,10,108,91
2026-03-11,3,106,123
2026-03-12,4,106,124
2026-03-13,0,99,127
2026-03-14,2,98,124
2026-03-15,1,93,119
2026-03-16,0,93,114
2026-03-17,0,89,114
2026-03-18,0,85,112
2026-03-19,0,84,107
2026-03-20,127,82,123
2026-03-21,124,76,123
2026-03-22,117,73,120
2026-03-23,114,73,114
2026-03-24,114,69,113
2026-03-25,110,67,112
2026-03-26,107,60,106
2026-03-27,106,59,104
2026-03-28,102,54,99
2026-03-29,98,54,100
2026-03-30,95,51,95
